Taux du jour,ACHATS,VENTES,SPREAD
MARCHE INFORMEL,123.25,129.5,6.25
Variation/jour précédent,0,0,0
MARCHE BANCAIRE,122.7733,126.7526,3.9793
Variation/jour précédent,-0.0062,-0.0205,-0.0143
Variation/ semaine précédente,0.021,0.0045,-0.0165
TAUX DE REFERENCE*,122.964,,
Variation/jour précédent,-0.0037,,
Variation/semaine précédente,0.0217,,
Variation/année précédente,0.2499,,
Taux de référence (12/01/18),98.3756,,
Taux Moyen d'Acquisition (T M A),,126.7526,
Variation/jour précédent,,-0.0205,
TRANSACTIONS BANCAIRES,11937316.17,11858227.14,
Variation/jour précédent,0.261,0.257,
Volume moyen semaine,9849554.102,9450012.156,
